1,2,3,4,5,6,7,8,9,10,sound
0.597910,0.246979,-0.011314,0.262742,-0.032846,0.267869,0.171582,0.121302,-0.166226,-0.041808,AK
0.612612,0.210827,0.414988,0.340602,0.312644,0.300177,-0.073558,0.091450,0.018032,-0.017026,AK
0.741000,-0.048732,0.567569,0.263470,0.325829,0.378592,-0.032729,0.038545,0.046966,-0.013782,AK
0.561008,0.110454,0.314019,0.417720,0.330381,0.249350,0.232468,-0.037008,0.091099,-0.001978,AK
0.724815,0.165914,0.399776,0.356734,0.430587,0.096668,0.198540,0.038740,-0.013174,0.091488,AK
0.615712,-0.044307,0.503844,0.342088,0.518665,0.168785,0.171896,0.073159,-0.048664,0.123374,AK
0.770811,0.203785,0.543955,0.327831,0.409322,0.048508,0.145336,0.175173,0.150252,-0.015461,AK
0.681922,0.097979,0.502655,0.324446,0.429599,0.162703,0.295784,0.159602,0.047460,0.027272,AK
0.620199,0.184824,0.664836,0.441585,0.262820,0.020972,0.425572,0.093194,0.016162,0.065697,AK
0.416748,0.045204,0.597380,0.293935,0.438395,0.112186,0.398577,0.042208,0.011782,0.102694,AK
0.445047,-0.101995,0.538436,0.426284,0.398478,0.060832,0.279421,0.065392,0.069895,0.012351,AK
0.313849,-0.235973,0.712741,0.378234,0.395176,0.051852,0.301533,0.050535,-0.050892,0.101011,AK
0.170731,-0.009266,0.591418,0.392380,0.266115,0.282372,0.271365,0.001119,0.079538,-0.009683,AK
0.230257,0.174069,0.664086,0.263234,0.223210,0.230604,0.357887,-0.031560,0.079718,0.053738,AK
0.177295,0.147992,0.619154,0.288415,0.251577,0.219159,0.175997,0.133411,0.091199,-0.081327,AK
0.405194,-0.125677,0.669998,0.149816,0.317155,0.113983,0.133625,0.073857,0.064484,-0.016411,AK
0.416036,0.019112,0.713124,0.237687,0.192260,0.182613,0.267593,0.101700,0.095132,-0.035593,AK
0.259951,0.156015,0.478808,0.456523,0.612085,0.076446,0.084565,0.070326,0.119915,0.107523,AK
0.284528,-0.080265,0.533852,0.455580,0.399547,0.226713,0.202457,0.013204,-0.011512,0.084813,AK
0.420227,0.099323,0.586109,0.311204,0.276689,0.169289,0.311601,0.071033,-0.006303,0.026973,AK
0.111502,-0.376049,0.391472,0.420520,0.306374,0.084888,0.329435,-0.115794,-0.067916,-0.009579,AK
0.399786,0.200592,0.715779,0.288067,0.298805,0.098896,0.308442,0.113702,0.029871,0.022499,AK
0.475618,0.053712,0.669638,0.339432,0.094361,0.214986,0.452821,0.007387,0.058802,0.042828,AK
0.444821,0.276988,0.561221,0.446215,0.054162,0.104808,0.402923,-0.113074,0.089414,0.011878,AK
0.428987,0.288293,0.525944,0.383226,0.385148,0.062405,0.204066,0.023216,-0.062605,0.072283,AK
0.523572,0.112868,0.501362,0.250172,0.312577,0.188378,0.182929,0.020105,0.125562,-0.047253,AK
0.397917,0.200215,0.733199,0.312147,0.178491,0.117829,0.259818,-0.011466,-0.148223,0.094645,AK
0.454948,-0.050767,0.651538,0.615449,0.120551,0.030425,0.398389,-0.122258,0.116449,0.058156,AK
0.550703,0.341624,0.803416,0.347938,0.281673,0.017948,0.270768,0.008169,0.053619,0.038998,AK
0.597899,0.410795,0.590694,0.235276,0.340804,0.212046,0.123201,-0.033811,0.083743,0.015096,AK
0.344971,0.300129,0.415288,0.392156,0.311907,0.078494,0.292349,-0.064098,-0.074723,0.061292,AK
0.295850,0.440967,0.327461,0.335590,0.598286,0.105048,0.106690,0.061269,0.102331,0.053519,AK
0.305247,0.426899,0.299424,0.155169,0.378775,-0.052455,0.214005,-0.014829,-0.078460,0.020513,AK
0.202573,0.348782,0.467071,0.342086,0.411950,0.029803,0.112915,0.106883,0.070677,-0.082557,AK
0.170007,0.217162,0.255152,0.474804,0.488113,0.120678,0.241551,-0.051072,0.258454,-0.105338,AK
0.259084,0.060990,0.249730,0.471616,0.509509,-0.020666,0.258223,0.081536,0.094932,-0.057683,AK
0.304186,0.112866,0.334186,0.362418,0.446987,0.081466,0.221868,-0.060931,0.078630,0.005218,AK
0.319638,0.014234,0.448794,0.405756,0.354108,0.072780,0.206600,0.034281,0.002694,-0.006561,AK
0.047626,0.076532,0.339344,0.260202,0.443291,0.157487,0.255357,-0.087646,-0.003236,-0.001411,AK
0.182274,0.096066,0.261906,0.265466,0.511829,0.257089,0.178699,0.025192,0.036280,-0.078806,AK
0.363356,0.075761,0.340391,0.342736,0.512103,-0.027983,0.214480,0.003602,0.024092,0.061688,AK
0.346401,-0.004796,0.278932,0.294155,0.481209,0.142664,0.280220,0.061559,-0.124777,0.040150,AK
0.346955,0.064364,0.395855,0.218919,0.493939,0.034274,0.005124,0.018100,-0.005239,0.029298,AK
0.189027,-0.026550,0.415424,0.225757,0.477500,0.062426,-0.013395,0.040406,0.061230,-0.049926,AK
0.078189,0.135736,0.267033,0.067552,0.449356,0.081408,0.013869,-0.057821,-0.054338,0.071659,AK
0.292753,0.052198,0.244638,0.286648,0.462756,0.069563,0.092067,-0.100701,0.011883,0.076422,AK
0.468384,0.099544,0.422810,0.302095,0.332301,0.154336,0.194911,0.054281,0.100141,0.043066,AK
0.625596,0.195324,0.396918,0.154542,0.298121,0.102724,0.114272,-0.113162,0.057473,0.037611,AK
0.427310,0.232807,0.382252,0.181499,0.563260,0.064357,0.214511,0.120423,0.120134,-0.034469,AK
0.394523,0.216564,0.202264,0.218851,0.485569,0.109038,0.233702,-0.122368,-0.018239,0.092858,AK
0.326079,0.389186,0.124945,0.163811,0.492256,0.095784,0.154047,-0.055261,-0.011618,0.093491,AK
0.195068,0.083947,0.274879,0.222997,0.535584,0.272256,0.083704,-0.112781,0.160384,0.067785,AK
0.396237,0.099709,0.321693,0.225454,0.616741,0.028662,0.086420,0.072824,0.034974,0.088786,AK
0.145339,0.336021,0.307838,0.128495,0.669264,0.048032,0.099967,0.008165,0.116116,0.049861,AK
0.462947,0.070314,0.426130,0.194824,0.601731,0.186100,0.014900,0.102203,0.092163,0.045842,AK
0.434924,0.165880,0.501135,0.253013,0.436463,0.149291,0.089514,-0.000551,0.149145,0.069779,AK
0.356121,0.119798,0.473563,0.053792,0.385867,0.144175,0.212098,0.002522,-0.081924,0.051305,AK
0.376211,0.176422,0.697070,0.302220,0.323350,0.213279,0.007392,-0.006662,0.077465,0.084994,AK
0.363899,0.002830,0.743822,0.144770,0.424828,0.228083,0.017586,0.081677,-0.003643,0.107412,AK
0.738875,0.211522,0.441226,0.206888,0.473054,0.109012,0.082120,0.070481,0.083832,0.063579,AK
0.165896,0.200376,0.496990,0.346718,0.333966,0.287566,0.001184,0.132837,-0.116289,0.261191,AK
0.752068,0.396728,0.552025,0.231438,0.285674,0.128976,0.084393,-0.310809,0.040948,0.053993,AK
0.772446,0.176666,0.660798,0.250640,0.259624,0.094456,0.101618,-0.207244,-0.088260,0.142009,AK
0.497800,0.347101,0.561023,0.170527,0.377717,0.124091,0.188087,-0.131964,-0.050157,0.153119,AK
0.335156,0.184862,0.540464,0.197620,0.357009,0.223437,0.225710,-0.063526,0.039490,0.066250,AK
0.612879,0.123690,0.462513,0.216855,0.267559,0.255522,0.105328,0.024804,0.069341,0.021569,AK
0.685132,-0.032687,0.545599,0.114719,0.233007,0.205068,0.162658,0.029608,0.055742,-0.043448,AK
0.622150,0.432474,0.431276,0.087205,0.447914,0.083779,0.078995,0.024844,0.165319,0.066899,AK
0.514316,0.408095,0.513408,-0.017682,0.436862,0.107478,0.126352,0.042769,0.009171,0.096394,AK
0.521362,0.211237,0.441299,0.277128,0.379402,0.170751,0.203177,0.071989,0.010579,0.123511,AK
0.607552,0.142512,0.313659,0.169304,0.262518,0.092853,0.064235,0.075998,-0.005618,0.080734,AK
0.599744,0.242392,0.541080,0.239592,0.342909,0.247704,0.065967,0.110887,-0.062722,0.106082,AK
0.396217,-0.473699,-0.121046,-0.126315,0.039176,0.288699,0.168411,-0.095777,-0.091173,0.025512,AK
0.964898,0.105328,0.174369,0.105570,0.210851,-0.080364,0.073737,0.158186,0.195929,-0.103477,AK
1.166549,0.179316,0.167871,0.059022,0.331490,0.111822,0.056377,0.049449,0.150482,0.023483,AK
0.842541,-0.052743,0.437424,0.161639,0.125652,0.087645,0.021677,-0.157085,0.035268,0.048527,AK
1.007546,0.042465,0.229787,0.102630,0.188444,0.046949,0.029567,0.104086,0.005010,-0.026628,AK
0.926906,0.106473,0.334962,0.142820,0.015918,-0.027922,0.221424,-0.053432,-0.060813,-0.086989,AK
0.872192,0.237648,0.407120,0.152409,0.081940,-0.015680,-0.019912,-0.015040,0.088568,-0.092533,AK
0.808808,0.163826,0.301961,0.242213,0.134557,-0.080157,0.039216,-0.019645,0.035973,-0.013128,AK
0.992869,0.111628,0.296170,0.150785,0.308349,0.010453,0.070211,0.015646,-0.092260,-0.009261,AK
0.845354,-0.039943,0.372982,0.066248,0.463478,-0.037553,-0.043193,-0.104041,-0.168744,0.070558,AK
0.639377,0.012893,0.265182,-0.012259,0.075831,-0.041748,0.023123,-0.046788,-0.096247,-0.086115,AK
1.012576,-0.064461,0.278912,-0.008867,-0.030101,-0.139743,0.041998,0.115164,-0.084187,-0.016088,AK
1.021380,0.167963,0.381970,0.065719,0.200835,0.121415,0.034282,-0.100675,0.012235,0.055254,AK
0.928723,-0.017012,0.307719,0.216325,0.249710,-0.079087,0.091856,-0.000088,-0.048468,-0.023357,AK
1.021812,0.116414,0.230647,0.086751,0.313973,-0.035389,0.210823,-0.005396,-0.112647,-0.043505,AK
1.074251,0.090297,0.217823,0.137518,0.201967,0.025223,-0.004573,-0.103536,-0.047033,-0.056494,AK
0.865463,0.128538,0.295680,0.116567,0.151097,0.052974,0.037715,-0.090160,0.034262,-0.032077,AK
1.033921,0.149604,0.330465,0.194450,0.134665,-0.093225,0.126490,-0.099112,-0.031672,-0.006404,AK
1.006492,0.035000,0.241999,0.051875,0.202786,-0.110646,-0.003124,-0.089698,-0.033469,-0.037649,AK
0.600357,-0.032938,0.123814,0.075161,0.132133,0.008889,0.066766,-0.193299,-0.060615,-0.139289,AK
0.940307,0.082764,0.132478,-0.036048,0.310745,-0.038026,-0.037587,-0.037657,0.051418,0.058312,AK
0.949105,0.209098,0.262315,-0.002124,0.225493,-0.097420,0.195176,-0.104754,-0.000696,0.082494,AK
0.803310,-0.012460,0.349054,0.007807,0.209442,0.010718,0.182456,-0.027844,0.123268,0.010588,AK
0.955256,-0.038609,0.449607,0.101775,0.250658,-0.024191,0.132594,-0.063327,0.018549,-0.027515,AK
0.921188,0.128506,0.418749,-0.000510,0.228555,-0.016063,0.050138,-0.097146,-0.052724,-0.037375,AK
0.862107,0.080038,0.384154,0.076074,0.111072,-0.085966,0.060313,0.006510,-0.058323,0.012890,AK
1.217177,0.169978,0.440966,0.070665,0.168360,0.045655,0.127659,0.049189,0.020872,-0.018915,AK
0.968953,-0.065971,0.325669,-0.072150,0.269313,0.027971,-0.064628,-0.089225,-0.031298,-0.052490,AK
0.583852,-0.078471,0.233328,0.060364,0.163997,0.012654,0.097824,-0.115351,-0.058362,-0.068108,AK
1.151177,0.204187,0.314220,-0.024741,0.148805,0.000677,0.018438,-0.141897,-0.019410,-0.016345,AK
1.341240,0.042726,0.137206,-0.004688,0.065621,0.034575,0.033517,-0.213439,0.043396,0.031474,AK
1.606313,0.013437,0.290512,-0.003718,0.139289,-0.079150,-0.021972,-0.023556,-0.008144,0.035265,AK
