1,2,3,4,5,6,7,8,9,10,sound
0.133412,-0.052549,0.280325,0.115358,0.133910,0.109613,0.063369,-0.259285,0.006381,-0.012691,AK
0.941237,-0.164174,0.252343,0.259270,0.197049,0.190181,0.126836,-0.140399,-0.105503,0.040569,m4a1_
1.293639,0.013008,0.444331,0.240022,0.084545,0.042493,0.164845,0.101338,0.101799,-0.000531,
1.044952,-0.177041,0.322306,0.215450,0.216155,0.163774,0.171095,-0.007826,-0.071000,0.007476,
0.809006,-0.229822,0.142695,0.054221,0.051228,-0.039982,0.197683,-0.049022,0.049729,0.057989,
0.890226,-0.090847,0.142028,0.065391,0.105848,-0.167296,0.039694,0.040059,0.078066,-0.083228,
1.218033,0.029345,0.219832,0.102227,0.184272,-0.219393,0.186843,0.047808,0.009985,0.053386,
1.269425,-0.005820,0.279852,0.039781,0.234471,-0.088149,0.144356,0.098548,-0.001248,0.006269,
1.215662,-0.226646,0.329548,0.097709,0.075812,-0.004709,0.041254,0.054897,0.040167,-0.029803,
1.477017,-0.008206,0.571582,0.113040,0.055088,-0.001471,-0.101724,0.101646,0.192917,0.008124,
1.094571,-0.338519,0.416151,0.334278,0.255281,0.085637,0.173417,-0.023902,-0.006882,0.061305,
0.670111,-0.202397,0.192778,-0.113414,0.088166,-0.039265,0.090951,0.071765,-0.024994,-0.083083,
0.897176,0.028301,0.194726,0.083382,0.106109,-0.052291,0.106705,0.061479,-0.057847,-0.065219,
1.123184,-0.282690,0.323670,0.004501,0.160285,0.062609,0.130697,0.028662,-0.082093,-0.040692,
1.376424,-0.183944,0.299324,0.075921,0.023223,0.024677,0.113932,0.069452,-0.037593,-0.031539,
1.369605,-0.271969,0.308779,0.018361,0.021435,0.005608,-0.011530,0.018607,-0.017002,-0.002708,
1.184069,-0.125778,0.497559,0.117287,0.156662,0.055347,0.145328,0.027727,0.001642,0.048697,
1.004951,-0.228081,0.369907,0.184083,0.118844,0.162246,0.152516,0.083271,0.021558,-0.024279,
0.895211,-0.217942,0.079018,-0.086470,-0.023341,0.057826,0.005234,-0.057617,0.003315,0.005993,
0.940417,-0.011087,0.186297,-0.042392,0.058002,-0.182198,0.116359,0.062521,0.060612,-0.033321,
1.194021,-0.090348,0.305431,-0.126776,-0.006358,0.112071,-0.027435,-0.015121,0.086839,-0.019194,
1.227335,-0.231212,0.278287,0.091763,0.115147,-0.038295,0.152574,0.005153,-0.089114,-0.012848,
1.362196,-0.193827,0.176580,0.058247,0.103069,0.033609,0.033636,0.133135,0.031963,-0.082439,
1.287800,-0.136100,0.505659,0.134003,0.147115,0.188563,0.145048,0.010974,0.077832,0.052681,
1.394779,-0.155658,0.611704,0.258464,0.195543,0.061524,0.142586,0.081762,0.072089,0.059190,
1.413521,-0.101482,0.481053,0.260223,0.361810,0.084871,0.185496,0.152050,0.026589,0.039910,
1.343738,-0.158091,0.265602,0.018134,0.339592,0.041725,0.173662,0.189396,0.098562,0.063465,
1.452008,0.026814,0.545069,0.188963,0.309274,0.006637,0.063831,0.097504,0.074615,0.055404,
1.366196,-0.213407,0.338914,-0.024383,0.142378,0.020199,0.017717,-0.014065,-0.038501,-0.036243,
1.584203,-0.135405,0.382868,0.207750,0.154695,-0.016124,0.146644,0.060923,-0.036031,0.023043,
1.634135,-0.265397,0.516394,0.142931,0.080924,0.013138,0.083286,0.082233,0.070088,0.060131,
1.717302,0.000873,0.493230,0.266370,0.272735,0.013647,0.033761,0.034097,0.166023,0.134504,
1.596720,-0.204725,0.407794,0.025829,0.159622,0.079967,-0.070803,0.119246,0.079337,0.019939,
1.620714,-0.263564,0.486534,0.337622,0.270339,-0.014526,0.183620,0.166914,0.054752,0.097594,
1.701038,-0.340422,0.450396,0.221567,0.156538,-0.025929,0.131435,0.183899,0.073103,0.104366,
1.515577,-0.598182,0.636554,0.166855,0.123338,0.104666,0.062735,0.112360,-0.026564,0.005567,
1.516636,-0.457587,0.718597,0.225262,0.100829,0.056934,0.104231,0.123689,0.031205,0.034421,
1.582181,-0.432375,0.682971,0.294627,0.173132,0.177290,0.258486,0.202141,0.069861,0.083820,
1.678578,-0.307639,0.655727,0.300864,0.240932,0.202416,0.206538,0.107170,-0.043779,0.081968,
